Mallname,City,State,mall_coords,Total_Stores
Alabaster Promenade,Alabaster,AL,"33.231865,-86.802074",29.0
Athens Town Center,Athens,AL,"34.788830623315,-86.976280030435",18.0
Auburn Mall,Auburn,AL,"32.626992429327,-85.447635994697",43.0
Bellview Plaza West Shopping,Fairfield,AL,"33.469183,-86.917656",0.0
Brook Highland Plaza,Birmingham,AL,"33.420535990876,-86.683367394564",36.0
Cahaba Village,Birmingham,AL,"33.46073333,-86.75313776",17.0
Chantilly Station Shopping Center,Montgomery,AL,"32.354555,-86.135372",9.0
Cloverleaf Plaza Shopping Center,Mobile,AL,"30.590589,-88.167556",13.0
Colonial Promenade,Alabaster,AL,"33.2316286,-86.8021828",24.0
Colonial Promenade Hoover,Hoover,AL,"33.3621741,-86.8251719",19.0
Coosa Town Center,Gadsden,AL,"34.011993381,-85.98903009",25.0
Cornerstone Shopping Center,Montgomery,AL,"32.337362,-86.181894",18.0
Cox Creek Shopping Center,Florence,AL,"34.842454,-87.6351414",25.0
Crestwood Festival Shopping Center,Irondale,AL,"33.5289955,-86.7326788",26.0
Crossroads Mall Annex,Albertville,AL,"34.263125,-86.187939",8.0
Dothan Pavilion,Dothan,AL,"31.266301378706,-85.444602787927",31.0
EastChase Market Center,Montgomery,AL,"32.362760983802,-86.152385004241",19.0
Eastdale Square,Montgomery,AL,"32.383130126004,-86.1972253079",17.0
Eastern Shore Centre,Spanish Fort,AL,"30.669349915656,-87.849158931265",54.0
Eastwood Village,Birmingham,AL,"33.529009358977,-86.720073629448",37.0
Encore Tuscaloosa,Tuscaloosa,AL,"33.17077,-87.521962",0.0
English Village Shopping Center,Decatur,AL,"34.555089,-86.9972232",20.0
Enterprise Plaza,Huntsville,AL,"34.746067,-86.6763509",14.0
Enterprise Shopping Center,Enterprise,AL,"31.318817,-85.828786",21.0
Factory Stores of America - Boaz,Boaz,AL,"34.197144,-86.160911",0.0
Fashion Outlets of Boaz,Boaz,AL,"34.197144,-86.158454",0.0
Festival Centre,Mobile,AL,"30.672729693544,-88.136531481257",13.0
Festival Plaza,Montgomery,AL,"32.3390629,-86.1764383",28.0
Five Points West Shopping Center,Birmingham,AL,"33.49485021,-86.8775103",27.0
Flintridge Centre,Fairfield,AL,"33.474169,-86.923297",0.0
Florence Mall - Alabama,Florence,AL,"34.8371187,-87.6356041",36.0
Florence Square,Florence,AL,"34.8276352,-87.6266591",21.0
Gallery Shopping Center,Huntsville,AL,"34.736337280162,-86.656040873559",22.0
Gateway Shopping Center,Decatur,AL,"34.576744043369,-86.97475316945",23.0
Grants Mill Station,Irondale,AL,"33.531552,-86.694195",20.0
High Point Town Center,Prattville,AL,"32.460757,-86.398242",33.0
Hillcrest Center,Millbrook,AL,"32.496012763085,-86.398499852508",14.0
Hoover Commons,Hoover,AL,"33.398456296025,-86.805022625218",21.0
Huntsville West Shopping Center,Huntsville,AL,"34.7370136,-86.6471889",21.0
Inverness Corners & Plaza,Birmingham,AL,"33.4173436,-86.6945471",30.0
Jasper Mall,Jasper,AL,"33.8518338,-87.2717845",31.0
Jubilee Square,Daphne,AL,"30.654146207872,-87.903750710969",40.0
Legacy Mall,Fairfield,AL,"33.474402,-86.920958",0.0
Madison Plaza,Huntsville,AL,"34.736871,-86.66114",23.0
McFarland Plaza,Tuscaloosa,AL,"33.18550249984,-87.528193924572",18.0
McGowin Park Shopping Center,Mobile,AL,"30.649394,-88.116486",24.0
Midtown Plaza,Montgomery,AL,"32.370193109564,-86.269808712188",26.0
Montgomery Commons,Montgomery,AL,"32.3281032,-86.2315167",17.0
Montgomery Towne Center,Montgomery,AL,"32.3259338,-86.2370277",10.0
Normandale Shopping Center,Montgomery,AL,"32.332242709087,-86.297258343176",5.0
Northside Mall (Northside Plaza),Dothan,AL,"31.2472173,-85.4293621",27.0
Oliver Creek (Walmart Supercenter),Montgomery,AL,"32.384927,-86.184466",29.0
Oxford Exchange,Oxford,AL,"33.609198702366,-85.784653549716",42.0
Palisades Shopping Center,Birmingham,AL,"33.47026894124,-86.819466059438",24.0
Payton Park,Sylacauga,AL,"33.175918289511,-86.286527859236",17.0
Pelican Place at Craft Farms,Gulf Shores,AL,"30.3015629,-87.680842",34.0
Pepperell Corners,Opelika,AL,"32.63906111764,-85.413342977615",26.0
Pinnacle Tutwiler Farm,Birmingham,AL,"33.603772,-86.643349",31.0
Prattville Town Center,Prattville,AL,"32.458699,-86.397179",31.0
Premiere Place,Prattville,AL,"32.461934320812,-86.414915365422",26.0
Promenade Fultondale,Fultondale,AL,"33.6046933,-86.8071",33.0
Promenade Montgomery & North,Montgomery,AL,"32.35219,-86.221387",0.0
Rainbow Plaza Shopping Center,Rainbow City,AL,"33.962231423578,-86.034761243989",13.0
River Ridge,Birmingham,AL,"33.4280614,-86.7094401",24.0
Riverchase Promenade,Birmingham,AL,"33.381312604422,-86.804411135801",20.0
Saugahatchee Square,Opelika,AL,"32.633837772086,-85.433938334226",29.0
Schillinger Towne Center,Mobile,AL,"30.6776372,-88.2235997",15.0
Scottsboro Marketplace,Scottsboro,AL,"34.669315,-86.0063819",28.0
Selma Mall,Selma,AL,"32.4331197,-87.0165065",26.0
Shoppes at Legacy Park,Tuscaloosa,AL,"33.199753536155,-87.52733189584",21.0
Shops at the Colonnade,Birmingham,AL,"33.438119207787,-86.728575626268",29.0
Shops On The Circle,Dothan,AL,"31.246755136993,-85.426647306735",25.0
Skyland Promenade,Tuscaloosa,AL,"33.1651751,-87.5187189",8.0
South Huntsville Square,Huntsville,AL,"34.645395,-86.569228",7.0
Southgate Mall Shopping Center,Muscle Shoals,AL,"34.746304,-87.671882",0.0
Spanish Fort Center (Spanish Fort Town Center),Spanish Fort,AL,"30.658923,-87.9035589",14.0
Springdale,Mobile,AL,"30.678411009081,-88.124180738404",18.0
Tannehill Promenade,Bessemer,AL,"33.3352445,-86.9931393",33.0
The Crossings of Decatur,Decatur,AL,"34.559671408318,-86.970943933031",33.0
The Fountain Shopping center,Huntsville,AL,"34.741719675506,-86.602830964724",8.0
The Grove,Hoover,AL,"33.361043196136,-86.852254788493",26.0
The Mall at Westlake,Bessemer,AL,"33.396176,-86.973472",0.0
The Shoppes at Bel Air,Mobile,AL,"30.673962760902,-88.120970200692",97.0
The Shoppes at Cary Creek,Auburn,AL,"32.638136,-85.480096",9.0
The Shoppes at EastChase,Montgomery,AL,"32.3613901,-86.1640883",67.0
The Shoppes at Madison,Madison,AL,"34.749373744099,-86.756534884662",27.0
The Village At Lee Branch,Birmingham,AL,"33.407987329,-86.667580702",57.0
Trussville Pormenade II,Birmingham,AL,"33.644873,-86.628308",16.0
Trussville Promenade,Birmingham,AL,"33.6391007,-86.6291684",32.0
Trussville Shopping Center,Birmingham,AL,"33.6423399,-86.6239086",17.0
University Place Shopping Centre,Huntsville,AL,"34.74206173306,-86.676877913498",34.0
Valley Bend,Huntsville,AL,"34.6741519,-86.5438544",49.0
Vestavia City Center (Vestavia Hills City Center),Vestavia Hills,AL,"33.4469239,-86.7925398",60.0
Village East Shopping Center,Birmingham,AL,"33.528672421578,-86.724953994644",9.0
Walmart Plaza,Madison,AL,"34.6838836,-86.7411659",20.0
Westbury Square Shopping center,Huntsville,AL,"34.690509431621,-86.576748735853",0.0
Western Hills Mall,Fairfield,AL,"33.466207507417,-86.912399044146",39.0
Westgate Shopping Center,Enterprise,AL,"31.319963,-85.832321",36.0
Westside Centre,Huntsville,AL,"34.742798225006,-86.681347818956",32.0
Westwood Plaza,Mobile,AL,"30.681634,-88.223884",33.0
Wildwood Centre,Birmingham,AL,"33.446697,-86.82317",25.0
Zelda Place,Montgomery,AL,"32.356315,-86.265469",0.0
Bartlett Towne Center,Memphis,TN,"35.2040726,-89.8618675",34.0
Brainerd Village Shopping Center,Chattanooga,TN,"35.0112791,-85.2132873",15.0
Brentwood Place Shopping Center,Brentwood,TN,"36.026336,-86.791156",44.0
Broad Street Centre,Murfreesboro,TN,"35.8632292,-86.4089176",20.0
Carriage Crossing MarketPlace,Collierville,TN,"35.0186472,-89.7206816",7.0
Cedars Square,Lebanon,TN,"36.1919491,-86.2909178",18.0
Centennial Commons,Memphis,TN,"35.048141,-89.7829299",16.0
Centennial Place,Memphis,TN,"35.0468783,-89.8048012",6.0
Chapman-Ford Crossing,Knoxville,TN,"35.9237328,-83.865735",5.0
City Center,Collierville,TN,"35.0464867,-89.6825929",24.0
Collierville Crossing,Collierville,TN,"35.0481478,-89.6908928",9.0
Collierville Marketplace,Collierville,TN,"35.0476439,-89.6962362",11.0
Columbia Mall,Columbia,TN,"35.5979701,-87.0552443",3.0
Commerce Central,Tullahoma,TN,"35.3881106,-86.2389546",10.0
Congress Crossing,Athens,TN,"35.4529808,-84.6258785",22.0
Cool Springs Festival,Brentwood,TN,"35.9645111,-86.8008993",7.0
Cool Springs Market,Franklin,TN,"35.9496959,-86.8186828",39.0
Cool Springs Pointe,Brentwood,TN,"35.9691541,-86.8092454",13.0
CoolSprings Crossing,Franklin,TN,"35.9571186,-86.8135376",193.0
Countrywood Crossing,Memphis,TN,"35.187117509738,-89.79378580423",22.0
Crockett Square,Morristown,TN,"36.2122695,-83.2565805",22.0
Crossroads Center,Knoxville,TN,"36.083724,-83.9290194",11.0
Cumberland Station,Cookeville,TN,"36.1451176,-85.497165",10.0
East Stone Commons,Kingsport,TN,"36.5440873,-82.5167974",26.0
Eastgate Center,Memphis,TN,"35.1085519,-89.890202",31.0
Eastgate Town Center,Chattanooga,TN,"35.0084093,-85.2149825",25.0
Foothills Plaza,Maryville,TN,"35.7416485,-83.9957711",2.0
Forrest Gallery Shopping Center,Tullahoma,TN,"35.3851521,-86.2352219",33.0
Frayser Village Shopping Center,Memphis,TN,"35.2211362,-89.9755467",28.0
Gallina Centro,Collierville,TN,"35.0492531,-89.7333481",14.0
Governor's Square Plaza,Clarksville,TN,"36.5865981,-87.2889723",122.0
Green Hills - Hill Center,Nashville,TN,"36.1036929,-86.8174031",28.0
Greeneville Commons,Greeneville,TN,"36.174688,-82.796389",22.0
Gunbarrel Pointe,Chattanooga,TN,"35.026877,-85.1573618",11.0
Hamilton Crossing,Chattanooga,TN,"35.044101,-85.158577",8.0
Hamilton Crossing,Alcoa,TN,"35.7707641,-83.9850907",18.0
Hamilton Village Shopping Center,Chattanooga,TN,"35.030546,-85.1549444",22.0
Hampton Plaza,Clarksville,TN,"36.5921543,-87.2955551",19.0
Harvest Park Centre,Knoxville,TN,"36.035174,-83.8884893",14.0
Hazel Path Commons,Hendersonville,TN,"36.3152567,-86.5891562",10.0
Hickory Ridge Commons,Memphis,TN,"35.047748,-89.854628",13.0
Hickory Ridge Mall,Memphis,TN,"35.047878,-89.860935",10.0
Jackson Plaza,Jackson,TN,"35.6566533,-88.8527496",2.0
Jackson Plaza,Cookeville,TN,"36.1569704,-85.5185048",36.0
Johnson City Crossing,Johnson City,TN,"36.3465578,-82.3996755",18.0
Kimball Crossing,Kimball,TN,"35.0404552,-85.6820024",35.0
Kirby Parkway Center,Memphis,TN,"35.0579888,-89.8439079",10.0
Lion's Head Village,Nashville,TN,"36.1307261,-86.852227",16.0
Madison Square Shopping Center,Memphis,TN,"36.2561542,-86.7143746",28.0
Main Street Oak Ridge (Oak Ridge City Center),Oak Ridge,TN,"36.0129539,-84.2529991",52.0
Market Place Shopping Center,Knoxville,TN,"35.911305,-84.092707",19.0
Marketplace at Smyrna,Smyrna,TN,"35.9798556,-86.5711439",5.0
Mendenhall Square Mall,Memphis,TN,"35.0515508,-89.8866822",16.0
Merchant's Central,Winchester,TN,"35.2178808,-86.1029358",15.0
Nashville West,Nashville,TN,"36.1382175,-86.8875329",21.0
Northgate Shopping Center,Memphis,TN,"35.212634,-90.030926",10.0
Northshore Towne Center,Knoxville,TN,"35.9315637,-84.0069921",16.0
Northside Marketplace,Madison,TN,"36.3058171,-86.6839967",10.0
