,Rank,Name,StoreID,Total_Visits,Lat,Long,Place_ID,City,County,State,zipcode,GEOID,TRACT,StateID,CountyID,TractPopulation,TractMedianIncome
46,33,HomeGoods,190,315346,27.2974095,-82.49483224,,,,Florida,,12115001702,1702,12,115,5995,79107
47,34,HomeGoods,1067,312041,28.53574365,-82.50738891,,,,Florida,,12053040801,40801,12,53,3966,51764
48,35,HomeGoods,608,308755,30.38946502,-86.43853555,,,,Florida,,12091023304,23304,12,91,4284,116033
49,36,HomeGoods,504,301033,25.80854892,-80.19409305,182156753,Miami,Miami-Dade County,Florida,33127,12086002600,2600,12,86,7195,49258
50,37,HomeGoods,685,287583,27.31814121,-80.38932411,91549346,Port Saint Lucie,Saint Lucie County,Florida,34986,12111382122,382122,12,111,6246,89366
51,38,HomeGoods,1024,283091,28.20429473,-82.66904311,,,,Florida,,12101031507,31507,12,101,6334,83194
52,39,HomeGoods,1030,277716,27.84340964,-82.64425415,20040686,Saint Petersburg,Pinellas County,Florida,33702,12103024410,24410,12,103,3762,68750
53,40,HomeGoods,828,257867,28.03892629,-80.6652918,59387114,West Melbourne,Brevard County,Florida,32907,12009071335,71335,12,9,4664,71528
54,41,HomeGoods,781,255909,30.3181815,-81.49375477,252116747,Jacksonville,Duval County,Florida,32246,12031014344,14344,12,31,4486,108654
55,42,HomeGoods,737,249352,30.19935294,-81.82823341,162051921,Jacksonville,Duval County,Florida,32222,12031013723,13723,12,31,9136,69517
56,43,HomeGoods,720,242747,28.46543125,-81.30425886,270413571,Orlando,Orange County,Florida,32822,12095013507,13507,12,95,7046,42923
57,44,HomeGoods,824,240966,30.62694002,-81.54215145,99700041,Yulee,Nassau County,Florida,32097,12089050306,50306,12,89,7537,65327
58,45,HomeGoods,379,225273,28.45118691,-81.49093846,119230922,Orlando,Orange County,Florida,32819,12095014813,14813,12,95,3424,85521
59,46,HomeGoods,779,224992,28.54890771,-81.72528837,181023195,Clermont,Lake County,Florida,32711,12069031320,31320,12,69,6020,93977
60,47,HomeGoods,664,216774,28.49443206,-81.43089219,68306556,Orlando,Orange County,Florida,32839,12095014504,14504,12,95,4978,59957
61,48,HomeGoods,833,207024,27.46369814,-82.63350917,,,,Florida,,12081000409,409,12,81,2827,77656
62,49,HomeGoods,576,205392,28.13186982,-82.36669457,95386362,Tampa,Hillsborough County,Florida,33647,12057011013,11013,12,57,4163,105192
63,50,HomeGoods,743,202822,26.34287079,-81.80516736,202633082,Bonita Springs,Lee County,Florida,34135,12071050401,50401,12,71,4170,65025
64,51,HomeGoods,249,164402,26.26183053,-80.10120799,42917480,Pompano Beach,Broward County,Florida,33064,12011030203,30203,12,11,4739,60333
65,52,HomeGoods,482,111883,25.64231842,-80.33253931,,,,Florida,,12086008206,8206,12,86,3804,153036
66,1,HomeGoods,415,403453,33.42006286,-86.68573381,101683807,Birmingham,Shelby County,Alabama,35242,1117030221,30221,1,117,5247,113409
67,2,HomeGoods,231,396697,33.39283881,-86.8078986,68659392,Hoover,Jefferson County,Alabama,35226,1073014409,14409,1,73,2988,93792
68,3,HomeGoods,1034,393842,33.18501388,-87.52761229,179568007,Tuscaloosa,Tuscaloosa County,Alabama,35487,1125011901,11901,1,125,3199,64720
69,4,HomeGoods,853,368202,31.22710584,-85.43081099,97668651,Dothan,Houston County,Alabama,36303,1069040500,40500,1,69,3612,68214
70,5,HomeGoods,688,319823,30.65240475,-88.11551895,203915184,Mobile,Mobile County,Alabama,36606,1097002100,2100,1,97,4249,33348
71,6,HomeGoods,761,266300,33.61003818,-86.62374802,74421050,Trussville,Jefferson County,Alabama,35235,1073011108,11108,1,73,4979,92359
72,7,HomeGoods,568,200023,34.74181903,-86.66475598,5824248,Huntsville,Madison County,Alabama,35806,1089010627,10627,1,89,4346,96233
73,1,T.J. Maxx,1086,788124,35.86071326,-83.5683857,338420139,Sevierville,Sevier County,Tennessee,37862,47155080500,80500,47,155,5335,44792
74,2,T.J. Maxx,1038,749091,36.16725845,-86.50742595,287838412,Mount Juliet,Wilson County,Tennessee,37122,47189030908,30908,47,189,7813,103765
75,3,T.J. Maxx,249,745427,35.92612102,-84.05038172,269230937,Knoxville,Knox County,Tennessee,37919,47093004403,4403,47,93,5261,96941
76,4,T.J. Maxx,760,660811,36.15764194,-85.51977024,217586414,Cookeville,Putnam County,Tennessee,38503,47141000700,700,47,141,3385,47600
77,5,T.J. Maxx,,640877,35.20680554,-84.85005376,228563417,Cleveland,Bradley County,Tennessee,37312,47011010100,10100,47,11,5475,63947
78,6,T.J. Maxx,108,570941,35.68535549,-88.85815346,81498664,Jackson,Madison County,Tennessee,38305,47113001605,1605,47,113,3297,54583
79,7,T.J. Maxx,1427,564026,36.00897711,-84.25540392,344577351,Oak Ridge,Anderson County,Tennessee,37830,47001020100,20100,47,1,3199,53080
80,8,T.J. Maxx,579,561342,35.84369359,-86.42686426,36245370,Murfreesboro,Rutherford County,Tennessee,37129,47149041800,41800,47,149,4895,48438
81,9,T.J. Maxx,809,556232,35.94843845,-86.82378745,87159316,Franklin,Williamson County,Tennessee,37607,47187050307,50307,47,187,3854,88966
82,10,T.J. Maxx,156,545687,36.34252832,-82.37427925,188166096,Johnson City,Washington County,Tennessee,37601,47179060401,60401,47,179,2090,76698
83,11,T.J. Maxx,14,534449,36.58458236,-87.29943281,295804323,Clarksville,Montgomery County,Tennessee,37040,47125102005,102005,47,125,6193,68576
84,12,T.J. Maxx,596,500644,35.10794912,-89.89152508,303690850,Memphis,Shelby County,Tennessee,38117,47157009501,9501,47,157,2959,66771
85,13,T.J. Maxx,215,500491,35.13082689,-85.24237553,19226332,Chattanooga,Hamilton County,Tennessee,37343,47065010432,10432,47,65,6913,105523
86,14,T.J. Maxx,183,493384,35.19806565,-89.79795181,303704906,Memphis,Shelby County,Tennessee,38133,47157021113,21113,47,157,4325,85542
87,15,T.J. Maxx,288,485393,35.98682337,-86.55388837,277493557,Smyrna,Rutherford County,Tennessee,37089,47149040312,40312,47,149,2269,66875
88,16,T.J. Maxx,766,472892,35.09294198,-89.80711403,303695535,Germantown,Shelby County,Tennessee,38138,47157021351,21351,47,157,4201,120129
89,17,T.J. Maxx,1034,420748,35.59649977,-87.05967781,189171576,Columbia,Maury County,Tennessee,38402,47119011101,11101,47,119,4959,97243
90,18,T.J. Maxx,1001,411169,36.54353673,-82.5164586,59302701,Kingsport,Sullivan County,Tennessee,37664,47163040800,40800,47,163,3511,45259
91,19,T.J. Maxx,118,394611,36.2929558,-86.7005579,183406876,Nashville-Davidson,Davidson County,Tennessee,37115,47037010401,10401,47,37,4734,59091
92,20,T.J. Maxx,585,327611,36.07580319,-86.92191319,82393086,Nashville-Davidson,Davidson County,Tennessee,37221,47037018411,18411,47,37,3440,81579
93,21,T.J. Maxx,,308351,35.15045294,-89.919667,233873397,Memphis,Shelby County,Tennessee,38122,47157008700,8700,47,157,5150,45160
94,22,T.J. Maxx,380,192587,35.03692797,-85.15375197,254145702,Chattanooga,Hamilton County,Tennessee,37421,47065011446,11446,47,65,4863,73104
95,1,T.J. Maxx,1101,1134979,25.65297847,-80.41389258,,,,Florida,,12086019402,19402,12,86,5568,69224
96,2,T.J. Maxx,603,827305,29.6620785,-82.42281801,,,,Florida,,12001002204,2204,12,1,11001,94229
97,3,T.J. Maxx,330,817421,30.49295275,-87.22688285,189039533,Pensacola,Escambia County,Florida,32504,12033001202,1202,12,33,4079,41510
98,4,T.J. Maxx,1103,802937,26.58756608,-80.14509673,,,,Florida,,12099005917,5917,12,99,4809,95652
99,5,T.J. Maxx,20,768982,28.55369117,-81.19964538,,,,Florida,,12095016741,16741,12,95,3109,78851
100,6,T.J. Maxx,98,697556,26.15151895,-80.32182243,116833776,Sunrise,Broward County,Florida,33323,12011060120,60120,12,11,6817,106345
101,7,T.J. Maxx,1100,673708,28.75430353,-81.34597083,217427134,Heathrow,Seminole County,Florida,32746,12117020812,20812,12,117,4900,72614
102,8,T.J. Maxx,746,659108,27.107679,-82.43585655,239084120,Venice,Sarasota County,Florida,34285,12115002305,2305,12,115,1474,75795
103,9,T.J. Maxx,711,629904,30.50322099,-84.24983703,162771870,Tallahassee,Leon County,Florida,32309,12073002410,2410,12,73,6838,93693
104,10,T.J. Maxx,235,625093,28.01355971,-82.73333397,161268725,Clearwater,Pinellas County,Florida,33761,12103026812,26812,12,103,5044,69500
105,11,T.J. Maxx,424,596128,25.74593131,-80.33410972,77570547,Coral Way Village,Miami-Dade County,Florida,33155,12086007709,7709,12,86,3515,116739
106,12,T.J. Maxx,710,592478,26.31583737,-80.15573678,188727054,Deerfield Beach,Broward County,Florida,33442,12011010402,10402,12,11,3470,55679
107,13,T.J. Maxx,593,584261,25.86853738,-80.29271011,65691678,Hialeah,Miami-Dade County,Florida,33012,12086000718,718,12,86,4613,39233
108,14,T.J. Maxx,582,528605,27.84696052,-82.64561699,150384130,Saint Petersburg,Pinellas County,Florida,33702,12103024410,24410,12,103,3762,68750
109,15,T.J. Maxx,1129,505569,30.60089884,-87.12569893,,,,Florida,,12113010704,10704,12,113,7023,77396
110,16,T.J. Maxx,47,502766,30.42708329,-86.64275731,41261666,Fort Walton Beach,Okaloosa County,Florida,32548,12091021902,21902,12,91,6690,71620
111,17,T.J. Maxx,1305,501134,28.09361164,-81.97052271,180075553,Lakeland,Polk County,Florida,33809,12105012209,12209,12,105,6491,64021
112,18,T.J. Maxx,564,488801,30.18750453,-85.66889004,64415537,Panama City,Bay County,Florida,32405,12005001502,1502,12,5,6034,82757
113,19,T.J. Maxx,1531,487096,25.48055461,-80.44006876,65248779,Homestead,Miami-Dade County,Florida,33033,12086011003,11003,12,86,4986,42021
114,20,T.J. Maxx,645,486906,29.1655025,-82.17087219,222940755,Ocala,Marion County,Florida,34474,12083001600,1600,12,83,3868,41173
115,21,T.J. Maxx,641,483380,27.94218865,-82.32392391,66131749,Brandon,Hillsborough County,Florida,33511,12057012212,12212,12,57,3426,46515
116,22,T.J. Maxx,84,474058,26.20787927,-81.76659535,,,,Florida,,12021010432,10432,12,21,3535,119375
117,23,T.J. Maxx,1387,471527,26.72314373,-80.09031477,99039889,West Palm Beach,Palm Beach County,Florida,33409,12099001802,1802,12,99,3550,69118
118,24,T.J. Maxx,272,468333,30.31812252,-81.49467181,88497948,Jacksonville,Duval County,Florida,32246,12031014344,14344,12,31,4486,108654
119,25,T.J. Maxx,33,462091,26.54322828,-81.87297893,71966394,Villas,Lee County,Florida,33919,12071001709,1709,12,71,2250,85833
120,26,T.J. Maxx,1410,452901,28.00274354,-81.71699889,260308854,Winter Haven,Polk County,Florida,33880,12105014005,14005,12,105,3620,82028
121,27,T.J. Maxx,259,447977,27.83769786,-82.78558611,161201771,Seminole,Pinellas County,Florida,33778,12103025107,25107,12,103,4054,89398
122,28,T.J. Maxx,1167,440521,28.34259836,-81.43024952,181527658,Kissimmee,Osceola County,Florida,34741,12097042100,42100,12,97,10946,44026
123,29,T.J. Maxx,1037,437395,25.94449895,-80.16804489,,,,Florida,,12086000222,222,12,86,4041,34641
124,30,T.J. Maxx,199,436561,28.35488355,-80.69962881,40605754,Merritt Island,Brevard County,Florida,32952,12009071602,71602,12,9,2230,68777
125,31,T.J. Maxx,1066,436022,28.85592895,-82.38808677,,,,Florida,,12017450705,450705,12,17,5066,62540
126,32,T.J. Maxx,1445,433619,27.9343907,-82.5041293,332295985,Tampa,Hillsborough County,Florida,33609,12057006000,6000,12,57,5631,178304
127,33,T.J. Maxx,755,433588,28.98319412,-81.2970863,88395490,DeLand,Volusia County,Florida,32720,12127090306,90306,12,127,6917,85645
128,34,T.J. Maxx,1547,432420,26.05054556,-80.1584286,,,,Florida,,12011080200,80200,12,11,1068,59028
129,35,T.J. Maxx,290,426394,28.09657182,-82.50415771,66991643,Tampa,Hillsborough County,Florida,33618,12057011524,11524,12,57,4910,68370
130,36,T.J. Maxx,1522,425778,27.3912488,-82.45129698,,,,Florida,,12081000810,810,12,81,5389,101300
131,37,T.J. Maxx,1039,424396,26.4087816,-81.80781382,147121272,Rapallo at Coconut Point,Lee County,Florida,33928,12071050316,50316,12,71,2332,132596
132,38,T.J. Maxx,1102,422295,28.24525552,-82.3519224,,,,Florida,,12101032006,32006,12,101,8416,78150
133,39,T.J. Maxx,719,420282,27.17634489,-80.23343587,23428810,Stuart,Martin County,Florida,34994,12085001000,1000,12,85,6405,53933
134,40,T.J. Maxx,829,420064,26.67048683,-80.20063747,,,,Florida,,12099007778,7778,12,99,7816,155877
135,41,T.J. Maxx,37,417530,26.00591221,-80.29370672,152223564,Pembroke Pines,Broward County,Florida,33027,12011110337,110337,12,11,7723,61962
136,42,T.J. Maxx,647,414246,30.17392564,-81.62531711,67575475,Jacksonville,Duval County,Florida,32223,12031016808,16808,12,31,4055,78333
137,43,T.J. Maxx,1087,412044,27.26705026,-80.42612145,338497426,Port Saint Lucie,Saint Lucie County,Florida,34987,12111382126,382126,12,111,10157,80887
138,44,T.J. Maxx,714,407702,27.30044557,-82.51561173,,,,Florida,,12115000602,602,12,115,3542,91765
139,45,T.J. Maxx,802,407213,28.65402248,-81.23824259,,,,Florida,,12117021307,21307,12,117,7396,125924
140,46,T.J. Maxx,269,404350,26.09446672,-80.24687382,,,,Florida,,12011070204,70204,12,11,5983,77623
141,47,T.J. Maxx,1331,403661,28.3437306,-81.61100861,53058947,Kissimmee,Osceola County,Florida,34747,12097040805,40805,12,97,1379,71220
142,48,T.J. Maxx,1415,398704,24.56895824,-81.76467933,42140355,Key West,Monroe County,Florida,33040,12087971900,971900,12,87,6124,58661
143,49,T.J. Maxx,26,394250,29.21491333,-81.09462894,244455623,Daytona Beach,Volusia County,Florida,32114,12127082302,82302,12,127,3404,39802
144,50,T.J. Maxx,1029,393258,28.14520774,-82.74282158,148062605,Tarpon Springs,Pinellas County,Florida,34689,12103027404,27404,12,103,7336,54096
145,51,T.J. Maxx,391,388285,26.36939616,-80.18476253,,,,Florida,,12099007768,7768,12,99,1582,85391
146,52,T.J. Maxx,1270,384661,30.62725796,-81.54318296,68353181,Yulee,Nassau County,Florida,32097,12089050306,50306,12,89,7537,65327
147,53,T.J. Maxx,1313,372532,27.03686694,-82.21180891,78763710,North Port,Sarasota County,Florida,34287,12115002737,2737,12,115,6256,67057
148,54,T.J. Maxx,1297,361127,27.53392359,-82.5001003,,,,Florida,,12081001907,1907,12,81,5142,71711
149,55,T.J. Maxx,377,358812,25.93157044,-80.13307806,,,,Florida,,12086000128,128,12,86,3393,75729
150,56,T.J. Maxx,1443,358548,25.84220634,-80.36722567,,,,Florida,,12086009040,9040,12,86,4641,80208
151,57,T.J. Maxx,1380,357749,25.77152352,-80.3586794,63410070,Fountainbleau,Miami-Dade County,Florida,33174,12086009029,9029,12,86,4322,71250
152,58,T.J. Maxx,417,350150,28.23810502,-80.72728213,76827434,Viera,Brevard County,Florida,32940,12009071201,71201,12,9,7360,61221
153,59,T.J. Maxx,155,345585,28.46601142,-81.45315319,47641900,Orlando,Orange County,Florida,32819,12095017001,17001,12,95,4719,49464
154,60,T.J. Maxx,322,344990,26.24607539,-80.25473906,316248915,Coral Springs,Broward County,Florida,33071,12011020320,20320,12,11,5151,81818
155,61,T.J. Maxx,197,342542,26.62472624,-81.94223871,339867290,Cape Coral,Lee County,Florida,33990,12071010303,10303,12,71,6241,65223
156,62,T.J. Maxx,745,339013,27.78777098,-82.72691369,52458868,Saint Petersburg,Pinellas County,Florida,33710,12103022501,22501,12,103,5705,60203
157,63,T.J. Maxx,291,337427,25.64533932,-80.33584156,65508978,Kendall,Miami-Dade County,Florida,33176,12086008409,8409,12,86,5394,113929
158,64,T.J. Maxx,598,335570,30.19218922,-81.74298135,58640856,Jacksonville,Duval County,Florida,32244,12031013524,13524,12,31,4038,49250
159,65,T.J. Maxx,289,335513,27.99824863,-82.56452435,,,,Florida,,12057011613,11613,12,57,6072,59038
160,66,T.J. Maxx,1132,335203,28.53867377,-81.73534444,40126720,Clermont,Lake County,Florida,34711,12069031315,31315,12,69,6051,61270
161,67,T.J. Maxx,841,333353,26.93601626,-80.09159423,,,,Florida,,12099000301,301,12,99,3477,151771
162,68,T.J. Maxx,1332,333314,27.93010714,-82.7891115,103169491,Largo,Pinellas County,Florida,33756,12103025602,25602,12,103,3083,49541
163,69,T.J. Maxx,392,330921,26.53119923,-80.08904205,332761647,Boynton Beach,Palm Beach County,Florida,33426,12099006012,6012,12,99,5179,60997
164,70,T.J. Maxx,1105,330474,29.47775566,-81.2153126,,,,Florida,,12035060213,60213,12,35,7100,52792
165,71,T.J. Maxx,1438,320118,26.00974618,-80.35720031,63553972,Pembroke Pines,Broward County,Florida,33082,12011110333,110333,12,11,6909,106057
166,72,T.J. Maxx,138,318362,27.6385425,-80.38230785,215281021,Vero Beach,Indian River County,Florida,32960,12061050401,50401,12,61,3574,43953
167,73,T.J. Maxx,1408,317349,28.81919966,-81.67658074,,,,Florida,,12069030915,30915,12,69,8896,73352
168,74,T.J. Maxx,70,309767,26.8431894,-80.07067753,338991007,North Palm Beach,Palm Beach County,Florida,33408,12099000703,703,12,99,3510,125645
169,75,T.J. Maxx,1025,308812,28.93295269,-81.93829386,66312946,The Villages,Lake County,Florida,32159,12069030408,30408,12,69,3369,65545
170,76,T.J. Maxx,1364,302075,26.44302204,-80.07223489,79104116,Delray Beach,Palm Beach County,Florida,33483,12099006502,6502,12,99,4216,81667
171,77,T.J. Maxx,283,299426,28.6278281,-81.31945704,,,,Florida,,12117022201,22201,12,117,5189,83901
172,78,T.J. Maxx,1486,296551,28.23348648,-82.73085927,266813401,New Port Richey,Pasco County,Florida,34652,12101030304,30304,12,101,4813,55597
173,79,T.J. Maxx,1123,280372,28.51589552,-81.37907899,202867908,Orlando,Orange County,Florida,32806,12095018500,18500,12,95,3386,59461
174,80,T.J. Maxx,1506,276207,28.34613124,-81.482625,56928432,Kissimmee,Osceola County,Florida,34746,12097040904,40904,12,97,5166,56902
175,81,T.J. Maxx,1194,271995,28.26414526,-82.18649301,274193056,Zephyrhills,Pasco County,Florida,33542,12101032804,32804,12,101,2663,51442
176,82,T.J. Maxx,1530,264589,28.65683065,-81.42086953,,,,Florida,,12117021707,21707,12,117,6671,76930
177,83,T.J. Maxx,1499,264054,28.39139541,-81.24781724,88440194,Orlando,Orange County,Florida,32832,12095016802,16802,12,95,14513,111896
178,84,T.J. Maxx,1535,239397,26.60843087,-81.81345361,87204962,Fort Myers,Lee County,Florida,33966,12071001209,1209,12,71,2649,63707
179,85,T.J. Maxx,1373,182806,30.26072448,-81.6244509,88035384,Jacksonville,Duval County,Florida,32217,12031016606,16606,12,31,4329,42591
180,86,T.J. Maxx,1340,179403,26.09717542,-80.12949882,202626102,Fort Lauderdale,Broward County,Florida,33316,12011042302,42302,12,11,1237,120222
181,87,T.J. Maxx,791,134530,27.43332377,-82.57887006,,,,Florida,,12081000312,312,12,81,1791,71154
182,88,T.J. Maxx,1377,112783,25.88796775,-80.16249003,,,,Florida,,12086001204,1204,12,86,5581,63313
183,1,T.J. Maxx,73,757204,34.82570805,-87.62562727,207765010,Florence,Lauderdale County,Alabama,35630,1077010800,10800,1,77,3412,39280
184,2,T.J. Maxx,27,710596,31.2460136,-85.424775,95180820,Dothan,Houston County,Alabama,36303,1069040400,40400,1,69,2450,82188
185,3,T.J. Maxx,242,676723,33.39335053,-86.80787109,68977201,Hoover,Jefferson County,Alabama,35216,1073014409,14409,1,73,2988,93792
186,4,T.J. Maxx,662,672003,32.61772288,-85.40596121,283362658,Opelika,Lee County,Alabama,36801,1081041101,41101,1,81,2106,-666666666
187,5,T.J. Maxx,465,595703,34.01266801,-85.98970988,130989526,Gadsden,Etowah County,Alabama,35903,1055001300,1300,1,55,2967,25764
188,6,T.J. Maxx,649,585935,33.18497378,-87.52800996,18734162,Tuscaloosa,Tuscaloosa County,Alabama,35405,1125011901,11901,1,125,3199,64720
189,7,T.J. Maxx,1446,550241,34.27934442,-86.20673902,97401171,Albertville,Marshall County,Alabama,35951,1095030801,30801,1,95,4864,71974
190,8,T.J. Maxx,1079,548695,32.45711144,-86.3968484,81331481,Prattville,Elmore County,Alabama,36066,1051031300,31300,1,51,5166,61188
191,9,T.J. Maxx,45,531727,33.60483555,-86.63828671,152875394,Trussville,Jefferson County,Alabama,35235,1073011108,11108,1,73,4979,92359
192,10,T.J. Maxx,1045,531480,33.60837815,-85.78320548,283342525,Oxford,Calhoun County,Alabama,36207,1015001101,1101,1,15,2088,79412
193,11,T.J. Maxx,1074,524758,33.22367944,-86.80391794,92626044,Alabaster,Shelby County,Alabama,35007,1117030616,30616,1,117,2658,100271
194,12,T.J. Maxx,1149,522109,34.15084311,-86.83897821,61832862,Cullman,Cullman County,Alabama,35055,1043965002,965002,1,43,4404,57308
195,13,T.J. Maxx,705,520098,34.68981044,-86.57808509,9481482,Huntsville,Madison County,Alabama,32802,1089002600,2600,1,89,3896,107500
196,14,T.J. Maxx,243,510554,32.34508806,-86.22138895,339424144,Montgomery,Montgomery County,Alabama,36123,1101005410,5410,1,101,3372,46875
197,15,T.J. Maxx,209,489876,33.64939863,-86.823636,253451609,Gardendale,Jefferson County,Alabama,35071,1073011707,11707,1,73,3352,59773
198,16,T.J. Maxx,279,485713,34.75703117,-86.73690152,100114538,Madison,Madison County,Alabama,35758,1089010612,10612,1,89,6071,92520
199,17,T.J. Maxx,817,471157,30.65283447,-87.90662753,184037865,Daphne,Baldwin County,Alabama,36527,1003010704,10704,1,3,6106,86456
