Ranked Venues - T.J. Maxx / Alabama - Total - Sep 01, 2021 - Aug 31,2022,,,
,,,,,
Rank,Name,Store ID,Total Visits,lat,lng
1,"T.J. Maxx / 187 Cox Creek Pkwy, Florence, AL, United States",73,757204,34.82570805,-87.62562727
2,"T.J. Maxx / 3500 Ross Clark Cir, Dothan, AL, United States",27,710596,31.2460136,-85.424775
3,"T.J. Maxx / 1646 Montgomery Hwy, Hoover, AL, United States",242,676723,33.39335053,-86.80787109
4,"T.J. Maxx / 2185 Tigertown Parkway, Opelika, AL, United States",662,672003,32.61772288,-85.40596121
5,"T.J. Maxx / 316 E Meighan Blvd, Gadsden, AL, United States",465,595703,34.01266801,-85.98970988
6,"T.J. Maxx / McFarland Boulevard East, Tuscaloosa, Alabama, United States",649,585935,33.18497378,-87.52800996
7,"T.J. Maxx / 832 Christopher Circle, Albertville, Alabama, United States",1446,550241,34.27934442,-86.20673902
8,"T.J. Maxx / 2748 Legends Pkwy, Prattville, AL, United States",1079,548695,32.45711144,-86.3968484
9,"T.J. Maxx / 1648 Gadsden Hwy, Birmingham, AL, United States",45,531727,33.60483555,-86.63828671
10,"T.J. Maxx / 300 Oxford Exchange Blvd, Oxford, AL, United States",1045,531480,33.60837815,-85.78320548
11,"T.J. Maxx / 320 S Colonial Dr, Alabaster, AL, United States",1074,524758,33.22367944,-86.80391794
12,"T.J. Maxx / 1908 Marktplatz Center, SW, Cullman, AL, United States",1149,522109,34.15084311,-86.83897821
13,"T.J. Maxx / 975 Airport Rd SW Ste 22A, Huntsville, AL, United States",705,520098,34.68981044,-86.57808509
14,"T.J. Maxx / 2751 Eastern Blvd, Montgomery, AL, United States",243,510554,32.34508806,-86.22138895
15,"T.J. Maxx / 655 Fieldstown Rd S150, Gardendale, AL, United States",209,489876,33.64939863,-86.823636
16,"T.J. Maxx / 7696 Hwy 72 W NW, Madison, AL, United States",279,485713,34.75703117,-86.73690152
17,"T.J. Maxx / 6850 US Highway 90, Daphne, AL, United States",817,471157,30.65283447,-87.90662753
18,"T.J. Maxx / 616 Boll Weevil Circle, Enterprise, AL, United States",1396,469954,31.3179396,-85.82869189
19,"T.J. Maxx / 2601 South McKenzie St., Foley, AL, United States",1166,458653,30.37584144,-87.67847689
20,"T.J. Maxx / 606 Highway 78 E, Jasper, AL, United States",1366,456588,33.84977072,-87.26907566
21,"T.J. Maxx / Cahaba Beach Road, Hoover, Alabama, United States",466,422139,33.4218513,-86.69223753
22,"T.J. Maxx / 3940 Airport Blvd, Mobile, AL, United States",267,365909,30.67742241,-88.14683993
23,"T.J. Maxx / 1307 US Hwy 231, Troy, AL, United States",1595,347167,31.77784479,-85.9452729
24,"T.J. Maxx / 4917 Promenade Pkwy, Bessemer, AL, United States",1471,314216,33.33548414,-86.99132475
25,"T.J. Maxx / 145 Mcs Blvd, Sylacauga, AL, United States",1524,296829,33.17396136,-86.28282353
