Rank,Name,Store ID,Total Visits,lat,lng,State,Address
49,HomeGoods,576.0,205392,28.13186982,-82.36669457,FL,"18061 Highwoods Preserve Pkwy, Tampa, FL, United States"
50,HomeGoods,743.0,202822,26.34287079,-81.80516736,FL,"27251 Bay Landing Drive, Florida, United States"
51,HomeGoods,249.0,164402,26.26183053,-80.10120799,FL,"2421 N Federal Hwy, Pompano Beach, FL, United States"
52,HomeGoods,482.0,111883,25.64231842,-80.33253931,FL,"13619 South Dixie Highway, Miami, FL, United States"
1,HomeGoods,1091,544090,36.33870566,-82.37720278,TN,"2011 N Roan St, Johnson City, TN, United States"
2,HomeGoods,359,501003,35.92631903,-84.04940438,TN,"8079 Kingston Pike, Knoxville, TN, United States"
3,HomeGoods,1007,357527,35.85473329,-86.42753616,TN,"484 N Thompson Lane, Murfreesboro, TN, United States"
4,HomeGoods,361,344169,36.33443225,-86.62290839,TN,"1026 Glenbrook Way, Hendersonville, TN, United States"
5,HomeGoods,1029,340950,36.15757025,-85.51927464,TN,"377 W Jackson St, Cookeville, TN, United States"
6,HomeGoods,1078,321679,35.88302644,-83.57591044,TN,"750 Winfield Dunn Pkwy, Sevierville, TN, United States"
7,HomeGoods,1064,320892,35.73977486,-86.9396596,TN,"1030 Crossings Boulevard, Spring Hill, TN, United States"
8,HomeGoods,195,315205,35.03565483,-85.15422286,TN,"2200 Hamilton Place Blvd, Chattanooga, TN, United States"
9,HomeGoods,554,310435,35.16931871,-89.7949902,TN,"1602 Chickering Lane, Memphis, Tennessee, United States"
10,HomeGoods,408,266647,36.08116861,-86.94533,TN,"8145 Sawyer Brown Rd, Nashville, TN, United States"
11,HomeGoods,839,256948,35.7510673,-83.99065566,TN,"730 Watkins Rd, Maryville, TN, United States"
12,HomeGoods,1093,248757,36.01126971,-84.25341437,TN,"161 E Main St, Oak Ridge, TN, United States"
13,HomeGoods,580,240601,35.04903869,-89.73581482,TN,"3635 S Houston Levee Rd, Collierville, TN, United States"
14,HomeGoods,1074,226016,35.20786186,-84.84919388,TN,"300 Paul Huff Parkway, Cleveland, TN, United States"
1,T.J. Maxx,73,757204,34.82570805,-87.62562727,AL,"187 Cox Creek Pkwy, Florence, AL, United States"
2,T.J. Maxx,27,710596,31.2460136,-85.424775,AL,"3500 Ross Clark Cir, Dothan, AL, United States"
3,T.J. Maxx,242,676723,33.39335053,-86.80787109,AL,"1646 Montgomery Hwy, Hoover, AL, United States"
4,T.J. Maxx,662,672003,32.61772288,-85.40596121,AL,"2185 Tigertown Parkway, Opelika, AL, United States"
5,T.J. Maxx,465,595703,34.01266801,-85.98970988,AL,"316 E Meighan Blvd, Gadsden, AL, United States"
6,T.J. Maxx,649,585935,33.18497378,-87.52800996,AL,"McFarland Boulevard East, Tuscaloosa, Alabama, United States"
7,T.J. Maxx,1446,550241,34.27934442,-86.20673902,AL,"832 Christopher Circle, Albertville, Alabama, United States"
8,T.J. Maxx,1079,548695,32.45711144,-86.3968484,AL,"2748 Legends Pkwy, Prattville, AL, United States"
9,T.J. Maxx,45,531727,33.60483555,-86.63828671,AL,"1648 Gadsden Hwy, Birmingham, AL, United States"
10,T.J. Maxx,1045,531480,33.60837815,-85.78320548,AL,"300 Oxford Exchange Blvd, Oxford, AL, United States"
11,T.J. Maxx,1074,524758,33.22367944,-86.80391794,AL,"320 S Colonial Dr, Alabaster, AL, United States"
12,T.J. Maxx,1149,522109,34.15084311,-86.83897821,AL,"1908 Marktplatz Center, SW, Cullman, AL, United States"
13,T.J. Maxx,705,520098,34.68981044,-86.57808509,AL,"975 Airport Rd SW Ste 22A, Huntsville, AL, United States"
14,T.J. Maxx,243,510554,32.34508806,-86.22138895,AL,"2751 Eastern Blvd, Montgomery, AL, United States"
15,T.J. Maxx,209,489876,33.64939863,-86.823636,AL,"655 Fieldstown Rd S150, Gardendale, AL, United States"
16,T.J. Maxx,279,485713,34.75703117,-86.73690152,AL,"7696 Hwy 72 W NW, Madison, AL, United States"
17,T.J. Maxx,817,471157,30.65283447,-87.90662753,AL,"6850 US Highway 90, Daphne, AL, United States"
18,T.J. Maxx,1396,469954,31.3179396,-85.82869189,AL,"616 Boll Weevil Circle, Enterprise, AL, United States"
19,T.J. Maxx,1166,458653,30.37584144,-87.67847689,AL,"2601 South McKenzie St., Foley, AL, United States"
20,T.J. Maxx,1366,456588,33.84977072,-87.26907566,AL,"606 Highway 78 E, Jasper, AL, United States"
21,T.J. Maxx,466,422139,33.4218513,-86.69223753,AL,"Cahaba Beach Road, Hoover, Alabama, United States"
22,T.J. Maxx,267,365909,30.67742241,-88.14683993,AL,"3940 Airport Blvd, Mobile, AL, United States"
23,T.J. Maxx,1595,347167,31.77784479,-85.9452729,AL,"1307 US Hwy 231, Troy, AL, United States"
24,T.J. Maxx,1471,314216,33.33548414,-86.99132475,AL,"4917 Promenade Pkwy, Bessemer, AL, United States"
25,T.J. Maxx,1524,296829,33.17396136,-86.28282353,AL,"145 Mcs Blvd, Sylacauga, AL, United States"
1,T.J. Maxx,1101,1134979,25.65297847,-80.41389258,FL,"13580 SW 120th St, Miami, FL, United States"
2,T.J. Maxx,603,827305,29.6620785,-82.42281801,FL,"1009 NW 76th Blvd, Gainesville, FL, United States"
3,T.J. Maxx,330,817421,30.49295275,-87.22688285,FL,"6625 North Davis Highway, Florida, United States"
4,T.J. Maxx,1103,802937,26.58756608,-80.14509673,FL,"6330 Lantana Rd, Lake Worth, FL, United States"
5,T.J. Maxx,20,768982,28.55369117,-81.19964538,FL,"391 N Alafaya Trl, Orlando, FL, United States"
6,T.J. Maxx,98,697556,26.15151895,-80.32182243,FL,"12801 W Sunrise Blvd, Sunrise, FL, United States"
7,T.J. Maxx,1100,673708,28.75430353,-81.34597083,FL,"3899 W Lake Mary Blvd, Lake Mary, FL, United States"
8,T.J. Maxx,746,659108,27.107679,-82.43585655,FL,"450 Venice Byp N, Venice, FL, United States"
9,T.J. Maxx,711,629904,30.50322099,-84.24983703,FL,"3425 Thomasville Rd Unit 18, Tallahassee, FL, United States"
10,T.J. Maxx,235,625093,28.01355971,-82.73333397,FL,"2541 Countryside Blvd Ste 2, Clearwater, FL, United States"
11,T.J. Maxx,424,596128,25.74593131,-80.33410972,FL,"8546 SW 24th St, Miami, FL, United States"
12,T.J. Maxx,710,592478,26.31583737,-80.15573678,FL,"3812 W Hillsboro Blvd, Deerfield Beach, FL, United States"
13,T.J. Maxx,593,584261,25.86853738,-80.29271011,FL,"499 W 49th St, Hialeah, FL, United States"
14,T.J. Maxx,582,528605,27.84696052,-82.64561699,FL,"7701 I Dr ML King St N, Saint Petersburg, FL, United States"
15,T.J. Maxx,1129,505569,30.60089884,-87.12569893,FL,"4731 Highway 90, Pace, FL, United States"
16,T.J. Maxx,47,502766,30.42708329,-86.64275731,FL,"417B Mary Esther Blvd, Fort Walton Beach, FL, United States"
17,T.J. Maxx,1305,501134,28.09361164,-81.97052271,FL,"4023 US Highway 98 N, Lakeland, FL, United States"
18,T.J. Maxx,564,488801,30.18750453,-85.66889004,FL,"523 West 23rd Street, Panama City, FL, United States"
19,T.J. Maxx,1531,487096,25.48055461,-80.44006876,FL,"2605 NE 10 Court, Homestead, FL, United States"
20,T.J. Maxx,645,486906,29.1655025,-82.17087219,FL,"2701 SW College Rd, Ste 800, Ocala, FL, United States"
21,T.J. Maxx,641,483380,27.94218865,-82.32392391,FL,"2520 W Brandon Blvd, Brandon, FL, United States"
22,T.J. Maxx,84,474058,26.20787927,-81.76659535,FL,"5018 Airport Pulling Rd N, Naples, FL, United States"
23,T.J. Maxx,1387,471527,26.72314373,-80.09031477,FL,"I 95, West Palm Beach, Florida, United States"
24,T.J. Maxx,272,468333,30.31812252,-81.49467181,FL,"11824 Atlantic Blvd Ste 100, Jacksonville, FL, United States"
25,T.J. Maxx,33,462091,26.54322828,-81.87297893,FL,"7191 Cypress Lake Dr, Fort Myers, FL, United States"
26,T.J. Maxx,1410,452901,28.00274354,-81.71699889,FL,"800 Cypress Gardens Blvd, Winter Haven, FL, United States"
27,T.J. Maxx,259,447977,27.83769786,-82.78558611,FL,"7191 Seminole Blvd, Seminole, FL, United States"
28,T.J. Maxx,1167,440521,28.34259836,-81.43024952,FL,"2551 W Osceola Pkwy, Kissimmee, FL, United States"
29,T.J. Maxx,1037,437395,25.94449895,-80.16804489,FL,"1650 NE Miami Gardens Dr, North Miami Beach, FL, United States"
30,T.J. Maxx,199,436561,28.35488355,-80.69962881,FL,"120 S Courtenay Pkwy, Merritt Island, FL, United States"
31,T.J. Maxx,1066,436022,28.85592895,-82.38808677,FL,"2675 E Gulf To Lake Hwy, Inverness, FL, United States"
32,T.J. Maxx,1445,433619,27.9343907,-82.5041293,FL,"3718 Henderson Blvd, Tampa, FL, United States"
33,T.J. Maxx,755,433588,28.98319412,-81.2970863,FL,"2615 S Woodland Blvd, DeLand, FL, United States"
34,T.J. Maxx,1547,432420,26.05054556,-80.1584286,FL,"1730 S Bearing St., Dania Beach, FL, United States"
35,T.J. Maxx,290,426394,28.09657182,-82.50415771,FL,"15740 N Dale Mabry Hwy, Tampa, FL, United States"
36,T.J. Maxx,1522,425778,27.3912488,-82.45129698,FL,"8219 Cooper Creek Blvd, University Park, FL, United States"
37,T.J. Maxx,1039,424396,26.4087816,-81.80781382,FL,"8014 Mediterranean Dr, Estero, FL, United States"
38,T.J. Maxx,1102,422295,28.24525552,-82.3519224,FL,"6035 Wesley Grove Blvd, Wesley Chapel, FL, United States"
39,T.J. Maxx,719,420282,27.17634489,-80.23343587,FL,"2377 SE Federal Hwy, Stuart, FL, United States"
40,T.J. Maxx,829,420064,26.67048683,-80.20063747,FL,"320 S State Rd 7, West Palm Beach, FL, United States"
41,T.J. Maxx,37,417530,26.00591221,-80.29370672,FL,"11030 Pines Blvd, Pembroke Pines, FL, United States"
42,T.J. Maxx,647,414246,30.17392564,-81.62531711,FL,"11111-16 San Jose Blvd, Jacksonville, FL, United States"
43,T.J. Maxx,1087,412044,27.26705026,-80.42612145,FL,"10864 SW Village Pkwy, Port Saint Lucie, FL, United States"
44,T.J. Maxx,714,407702,27.30044557,-82.51561173,FL,"3700 S Tuttle Ave, Sarasota, FL, United States"
45,T.J. Maxx,802,407213,28.65402248,-81.23824259,FL,"1115 Vidina Pl S-185, Oviedo, FL, United States"
46,T.J. Maxx,269,404350,26.09446672,-80.24687382,FL,"2040 S University Dr, Davie, FL, United States"
47,T.J. Maxx,1331,403661,28.3437306,-81.61100861,FL,"3219 Rolling Oaks Blvd, Kissimmee, FL, United States"
48,T.J. Maxx,1415,398704,24.56895824,-81.76467933,FL,"3240 N Roosevelt Blvd, Key West, FL, United States"
49,T.J. Maxx,26,394250,29.21491333,-81.09462894,FL,"1115 Cornerstone Blvd S, Daytona Beach, FL, United States"
50,T.J. Maxx,1029,393258,28.14520774,-82.74282158,FL,"40968 US 19 North, Tarpon Springs, FL, United States"
51,T.J. Maxx,391,388285,26.36939616,-80.18476253,FL,"8903 Glades Rd, Boca Raton, FL, United States"
52,T.J. Maxx,1270,384661,30.62725796,-81.54318296,FL,"463899 State Road 200, Yulee, FL, United States"
53,T.J. Maxx,1313,372532,27.03686694,-82.21180891,FL,"18059 Tamiami Trl, North Port, FL, United States"
54,T.J. Maxx,1297,361127,27.53392359,-82.5001003,FL,"US-301, Ellenton, FL, United States"
55,T.J. Maxx,377,358812,25.93157044,-80.13307806,FL,"3809 NE 163rd St, North Miami Beach, FL, United States"
56,T.J. Maxx,1443,358548,25.84220634,-80.36722567,FL,"7250 NW 104th Ave, Miami, FL, United States"
57,T.J. Maxx,1380,357749,25.77152352,-80.3586794,FL,"10001 W Flagler St, Miami, FL, United States"
58,T.J. Maxx,417,350150,28.23810502,-80.72728213,FL,"2314 Remi Dr, Melbourne, FL, United States"
59,T.J. Maxx,155,345585,28.46601142,-81.45315319,FL,"5295 International Dr, Ste 500, Orlando, FL, United States"
60,T.J. Maxx,322,344990,26.24607539,-80.25473906,FL,"1200 N University Dr, Coral Springs, FL, United States"
61,T.J. Maxx,197,342542,26.62472624,-81.94223871,FL,"1502 Del Prado Blvd S, Cape Coral, FL, United States"
62,T.J. Maxx,745,339013,27.78777098,-82.72691369,FL,"2105 66th St N, St. Petersburg, FL, United States"
63,T.J. Maxx,291,337427,25.64533932,-80.33584156,FL,"8765 SW 136th St, Miami, FL, United States"
64,T.J. Maxx,598,335570,30.19218922,-81.74298135,FL,"6001 Argyle Forest Blvd, Jacksonville, FL, United States"
65,T.J. Maxx,289,335513,27.99824863,-82.56452435,FL,"7555 Hillsborough Ave, Tampa, FL, United States"
66,T.J. Maxx,1132,335203,28.53867377,-81.73534444,FL,"Steve's Road, Florida, United States"
67,T.J. Maxx,841,333353,26.93601626,-80.09159423,FL,"75 E Indiantown Rd, Jupiter, FL, United States"
68,T.J. Maxx,1332,333314,27.93010714,-82.7891115,FL,"1301 Missouri Ave N, Largo, FL, United States"
69,T.J. Maxx,392,330921,26.53119923,-80.08904205,FL,"388 N Congress Ave, Boynton Beach, FL, United States"
70,T.J. Maxx,1105,330474,29.47775566,-81.2153126,FL,"5260 E Highway 100, Palm Coast, FL, United States"
71,T.J. Maxx,1438,320118,26.00974618,-80.35720031,FL,"NW 3rd Street, Florida, United States"
72,T.J. Maxx,138,318362,27.6385425,-80.38230785,FL,"405 21st St, Vero Beach, FL, United States"
73,T.J. Maxx,1408,317349,28.81919966,-81.67658074,FL,"16920 US Highway 441, Mount Dora, FL, United States"
74,T.J. Maxx,70,309767,26.8431894,-80.07067753,FL,"2430 Pga Blvd, Palm Beach Gardens, FL, United States"
75,T.J. Maxx,1025,308812,28.93295269,-81.93829386,FL,"620 US-441, The Villages, FL, United States"
76,T.J. Maxx,1364,302075,26.44302204,-80.07223489,FL,"1626 S Federal Hwy, Delray Beach, FL, United States"
77,T.J. Maxx,283,299426,28.6278281,-81.31945704,FL,"1455 Semoran Blvd, Casselberry, FL, United States"
78,T.J. Maxx,1486,296551,28.23348648,-82.73085927,FL,"5107 US Highway 19, New Port Richey, FL, United States"
79,T.J. Maxx,1123,280372,28.51589552,-81.37907899,FL,"80 W Grant St, Orlando, FL, United States"
80,T.J. Maxx,1506,276207,28.34613124,-81.482625,FL,"3215  Vineland Rd, Kissimmee, FL, United States"
81,T.J. Maxx,1194,271995,28.26414526,-82.18649301,FL,"7326 Gall Blvd, Zephyrhills, FL, United States"
82,T.J. Maxx,1530,264589,28.65683065,-81.42086953,FL,"380 N State Road 434, Altamonte Springs, FL, United States"
83,T.J. Maxx,1499,264054,28.39139541,-81.24781724,FL,"11926 Narcoossee Rd, Orlando, FL, United States"
84,T.J. Maxx,1535,239397,26.60843087,-81.81345361,FL,"9370 Ben C Pratt, Fort Myers, FL, United States"
85,T.J. Maxx,1373,182806,30.26072448,-81.6244509,FL,"3550 University Blvd W, Jacksonville, FL, United States"
86,T.J. Maxx,1340,179403,26.09717542,-80.12949882,FL,"1920  Cordova Rd, Fort Lauderdale, FL, United States"
87,T.J. Maxx,791,134530,27.43332377,-82.57887006,FL,"6100 14th St W, Bradenton, FL, United States"
88,T.J. Maxx,1377,112783,25.88796775,-80.16249003,FL,"North Miami, FL, United States"
1,T.J. Maxx,73,757204,34.82570805,-87.62562727,AL,"187 Cox Creek Pkwy, Florence, AL, United States"
2,T.J. Maxx,27,710596,31.2460136,-85.424775,AL,"3500 Ross Clark Cir, Dothan, AL, United States"
3,T.J. Maxx,242,676723,33.39335053,-86.80787109,AL,"1646 Montgomery Hwy, Hoover, AL, United States"
4,T.J. Maxx,662,672003,32.61772288,-85.40596121,AL,"2185 Tigertown Parkway, Opelika, AL, United States"
5,T.J. Maxx,465,595703,34.01266801,-85.98970988,AL,"316 E Meighan Blvd, Gadsden, AL, United States"
6,T.J. Maxx,649,585935,33.18497378,-87.52800996,AL,"McFarland Boulevard East, Tuscaloosa, Alabama, United States"
7,T.J. Maxx,1446,550241,34.27934442,-86.20673902,AL,"832 Christopher Circle, Albertville, Alabama, United States"
8,T.J. Maxx,1079,548695,32.45711144,-86.3968484,AL,"2748 Legends Pkwy, Prattville, AL, United States"
9,T.J. Maxx,45,531727,33.60483555,-86.63828671,AL,"1648 Gadsden Hwy, Birmingham, AL, United States"
10,T.J. Maxx,1045,531480,33.60837815,-85.78320548,AL,"300 Oxford Exchange Blvd, Oxford, AL, United States"
11,T.J. Maxx,1074,524758,33.22367944,-86.80391794,AL,"320 S Colonial Dr, Alabaster, AL, United States"
12,T.J. Maxx,1149,522109,34.15084311,-86.83897821,AL,"1908 Marktplatz Center, SW, Cullman, AL, United States"
13,T.J. Maxx,705,520098,34.68981044,-86.57808509,AL,"975 Airport Rd SW Ste 22A, Huntsville, AL, United States"
14,T.J. Maxx,243,510554,32.34508806,-86.22138895,AL,"2751 Eastern Blvd, Montgomery, AL, United States"
15,T.J. Maxx,209,489876,33.64939863,-86.823636,AL,"655 Fieldstown Rd S150, Gardendale, AL, United States"
16,T.J. Maxx,279,485713,34.75703117,-86.73690152,AL,"7696 Hwy 72 W NW, Madison, AL, United States"
17,T.J. Maxx,817,471157,30.65283447,-87.90662753,AL,"6850 US Highway 90, Daphne, AL, United States"
18,T.J. Maxx,1396,469954,31.3179396,-85.82869189,AL,"616 Boll Weevil Circle, Enterprise, AL, United States"
19,T.J. Maxx,1166,458653,30.37584144,-87.67847689,AL,"2601 South McKenzie St., Foley, AL, United States"
20,T.J. Maxx,1366,456588,33.84977072,-87.26907566,AL,"606 Highway 78 E, Jasper, AL, United States"
21,T.J. Maxx,466,422139,33.4218513,-86.69223753,AL,"Cahaba Beach Road, Hoover, Alabama, United States"
22,T.J. Maxx,267,365909,30.67742241,-88.14683993,AL,"3940 Airport Blvd, Mobile, AL, United States"
23,T.J. Maxx,1595,347167,31.77784479,-85.9452729,AL,"1307 US Hwy 231, Troy, AL, United States"
24,T.J. Maxx,1471,314216,33.33548414,-86.99132475,AL,"4917 Promenade Pkwy, Bessemer, AL, United States"
25,T.J. Maxx,1524,296829,33.17396136,-86.28282353,AL,"145 Mcs Blvd, Sylacauga, AL, United States"
1,Marshalls,422,579489,34.67480735,-86.5457253,AL,"2750 Carl T Jones Dr SE, Huntsville, AL, United States"
2,Marshalls,1446,560818,30.37788523,-87.68632428,AL,"South Pine Street, Foley, Alabama, United States"
3,Marshalls,1355,459410,32.3596849,-86.15858661,AL,"7680 Eastchase Pkwy, Montgomery, AL, United States"
4,Marshalls,316,418587,30.67761061,-88.12260762,AL,"3250 Airport Blvd., Mobile, AL, United States"
5,Marshalls,1227,395458,33.36105771,-86.85386633,AL,"Grove Boulevard, Hoover, Alabama, United States"
6,Marshalls,767,330430,33.63910488,-86.62771501,AL,"Trussville Crossings Pkwy, Trussville, Alabama, United States"
7,Marshalls,809,266024,34.75430438,-86.74775761,AL,"7950 Highway 72 W Ste 7, Madison, AL, United States"
1,Marshalls,425.0,819819,26.6834479,-80.22362638,FL,"11031 Southern Blvd, Royal Palm Beach, FL, United States"
2,Marshalls,1077.0,754601,29.11130473,-81.03616413,FL,"5505 S Williamson Blvd, Port Orange, FL, United States"
3,Marshalls,1062.0,702859,27.63733172,-80.44914495,FL,"5915 20th St, Vero Beach, FL, United States"
4,Marshalls,1018.0,650072,28.52103765,-81.58389624,FL,"3349 Daniels Rd, Winter Garden, FL, United States"
5,Marshalls,146.0,622791,25.86463408,-80.31606456,FL,"1700 W 49th St, Ste 3, Hialeah, FL, United States"
6,Marshalls,194.0,599968,29.86862798,-81.32534911,FL,"1795 US Highway 1 S, Saint Augustine, FL, United States"
7,Marshalls,320.0,562742,25.74786693,-80.38838071,FL,"11865 SW 26th St, Miami, FL, United States"
8,Marshalls,1278.0,559928,28.34226274,-81.41032988,FL,"731 Centerview Blvd, Kissimmee, FL, United States"
9,Marshalls,329.0,559641,27.99839165,-81.96058114,FL,"3615 S Florida Ave, Lakeland, FL, United States"
10,Marshalls,465.0,555623,28.20242974,-82.66406799,FL,"2948 Little Rd, Trinity, FL, United States"
11,Marshalls,285.0,552525,28.02853219,-82.50300763,FL,"3661 W Waters Ave, Tampa, FL, United States"
12,Marshalls,486.0,548214,26.14945018,-80.32563391,FL,"12801 W Sunrise Blvd, Sunrise, FL, United States"
13,Marshalls,408.0,541376,30.27075293,-81.39014639,FL,"1800 3Rd St S, Jacksonville Beach, FL, United States"
14,Marshalls,1328.0,527287,29.62730729,-82.38218874,FL,"3965 Plaza Blvd, Ste 40, Gainesville, FL, United States"
15,Marshalls,1010.0,502202,28.53635626,-82.50622751,FL,"7143 Coastal Blvd, Brooksville, FL, United States"
16,Marshalls,372.0,483807,25.6861927,-80.42254009,FL,"14093 SW 88 St., Miami, FL, United States"
17,Marshalls,284.0,482310,27.94261139,-82.32225189,FL,"2458 W Brandon Blvd, Brandon, FL, United States"
18,Marshalls,651.0,481957,25.93155015,-80.12302813,FL,"16800 Collins Ave, Sunny Isles Beach, FL, United States"
19,Marshalls,1332.0,473033,28.60393079,-81.36809838,FL,"501 N Orlando Ave, Winter Park, FL, United States"
20,Marshalls,1293.0,466065,28.93027812,-82.01828307,FL,"Woodbridge Drive, The Villages, Florida, United States"
21,Marshalls,1269.0,458671,26.96015233,-80.08295057,FL,"105 N US Highway 1, Tequesta, FL, United States"
22,Marshalls,1113.0,454293,30.22129622,-85.8701446,FL,"15611 Sea Turtle Dr, Panama City Beach, FL, United States"
